street,label,location,heading,pitch,fov,radius,bottom_crop,source,sample_location,pano_id,pano_lat,pano_lng,pano_date,status,group_id,created_at
auto_68,auto_x3jvMhdI-AB8siN3Dplh2Q_h315,"45.3936812,-75.6168620",315,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
auto_69,auto_x3jvMhdI-AB8siN3Dplh2Q_h0,"45.3936812,-75.6168620",0,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
auto_70,auto_x3jvMhdI-AB8siN3Dplh2Q_h45,"45.3936812,-75.6168620",45,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
auto_71,auto_x3jvMhdI-AB8siN3Dplh2Q_h90,"45.3936812,-75.6168620",90,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
auto_72,auto_x3jvMhdI-AB8siN3Dplh2Q_h135,"45.3936812,-75.6168620",135,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
auto_73,auto_9uuCrEVUkpE7H4UQteCqQw_h180,"45.3966357,-75.7221338",180,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_74,auto_9uuCrEVUkpE7H4UQteCqQw_h225,"45.3966357,-75.7221338",225,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_75,auto_9uuCrEVUkpE7H4UQteCqQw_h270,"45.3966357,-75.7221338",270,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_76,auto_9uuCrEVUkpE7H4UQteCqQw_h315,"45.3966357,-75.7221338",315,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_77,auto_9uuCrEVUkpE7H4UQteCqQw_h0,"45.3966357,-75.7221338",0,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_78,auto_9uuCrEVUkpE7H4UQteCqQw_h45,"45.3966357,-75.7221338",45,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_79,auto_9uuCrEVUkpE7H4UQteCqQw_h90,"45.3966357,-75.7221338",90,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_80,auto_9uuCrEVUkpE7H4UQteCqQw_h135,"45.3966357,-75.7221338",135,0,90,50,30,auto_sampler,"45.3965681,-75.7224024",9uuCrEVUkpE7H4UQteCqQw,45.396635688418,-75.72213379239254,2024-10,ok,9uuCrEVUkpE7H4UQteCqQw,2026-02-28T21:27:25.701Z
auto_81,auto_6ejiWEB3yAsW-H1rrZI22w_h180,"45.3790487,-75.6597817",180,0,90,50,30,auto_sampler,"45.3787700,-75.6597414",6ejiWEB3yAsW-H1rrZI22w,45.37904873981608,-75.65978165452049,2024-10,ok,6ejiWEB3yAsW-H1rrZI22w,2026-02-28T21:27:25.811Z
auto_82,auto_6ejiWEB3yAsW-H1rrZI22w_h225,"45.3790487,-75.6597817",225,0,90,50,30,auto_sampler,"45.3787700,-75.6597414",6ejiWEB3yAsW-H1rrZI22w,45.37904873981608,-75.65978165452049,2024-10,ok,6ejiWEB3yAsW-H1rrZI22w,2026-02-28T21:27:25.811Z
auto_83,auto_6ejiWEB3yAsW-H1rrZI22w_h270,"45.3790487,-75.6597817",270,0,90,50,30,auto_sampler,"45.3787700,-75.6597414",6ejiWEB3yAsW-H1rrZI22w,45.37904873981608,-75.65978165452049,2024-10,ok,6ejiWEB3yAsW-H1rrZI22w,2026-02-28T21:27:25.811Z
